record_type,sentence_set_id,label,prefix,word,surprisal_target,actual_surprisal,met_threshold
distractor_candidate,1,1,Humpback,volcano,25,17.804103554961056,False
distractor_candidate,1,1,Tyrannosaurus,shuts,25,23.522383606583926,False
distractor_candidate,1,1,Humpback,shuts,25,23.806163235674802,False
distractor_candidate,1,1,Tyrannosaurus,pores,25,25.313873222034733,True
distractor_candidate,1,1,Humpback,pores,25,29.015691088821345,True
distractor_candidate,1,2,Tyrannosaurus rex,jack,25,14.999288033042959,False
distractor_candidate,1,2,Humpback whales,jack,25,16.568880128905743,False
distractor_candidate,1,2,Tyrannosaurus rex,form,25,14.676499987013983,False
distractor_candidate,1,2,Humpback whales,form,25,13.57742215496529,False
distractor_candidate,1,2,Tyrannosaurus rex,fit,25,18.528755894024517,False
distractor_candidate,1,2,Humpback whales,fit,25,15.319899466642614,False
distractor_candidate,1,2,Tyrannosaurus rex,take,25,19.412940715889526,False
distractor_candidate,1,2,Humpback whales,take,25,12.325931921860771,False
distractor_candidate,1,2,Tyrannosaurus rex,let,25,21.287843292870004,False
distractor_candidate,1,2,Humpback whales,let,25,17.738410309915082,False
distractor_candidate,1,2,Tyrannosaurus rex,set,25,14.860463637266498,False
distractor_candidate,1,2,Humpback whales,set,25,14.055012472966483,False
distractor_candidate,1,2,Tyrannosaurus rex,by,25,13.911448235332244,False
distractor_candidate,1,2,Humpback whales,by,25,11.43044715190347,False
distractor_candidate,1,2,Tyrannosaurus rex,give,25,19.149739842870293,False
distractor_candidate,1,2,Humpback whales,give,25,17.360275495116042,False
distractor_candidate,1,2,Tyrannosaurus rex,dude,25,19.70582166686406,False
distractor_candidate,1,2,Humpback whales,dude,25,18.223760485123204,False
distractor_candidate,1,2,Tyrannosaurus rex,main,25,14.79701167012657,False
distractor_candidate,1,2,Humpback whales,main,25,17.944687677221143,False
distractor_candidate,1,2,Tyrannosaurus rex,lot,25,21.469589054856993,False
distractor_candidate,1,2,Humpback whales,lot,25,17.774197835767822,False
distractor_candidate,1,2,Tyrannosaurus rex,job,25,20.00753702264812,False
distractor_candidate,1,2,Humpback whales,job,25,17.913604220834802,False
distractor_candidate,1,2,Tyrannosaurus rex,now,25,12.896746467658053,False
distractor_candidate,1,2,Humpback whales,now,25,11.13914981717808,False
distractor_candidate,1,2,Tyrannosaurus rex,sent,25,18.497673813499382,False
distractor_candidate,1,2,Humpback whales,sent,25,15.67938448278209,False
distractor_candidate,1,2,Tyrannosaurus rex,size,25,12.77580689171012,False
distractor_candidate,1,2,Humpback whales,size,25,13.811746452974058,False
distractor_candidate,1,2,Tyrannosaurus rex,bar,25,13.821621008855997,False
distractor_candidate,1,2,Humpback whales,bar,25,15.460801412841494,False
distractor_candidate,1,2,Tyrannosaurus rex,your,25,22.710563580757157,False
distractor_candidate,1,2,Humpback whales,your,25,21.080818832928596,False
distractor_candidate,1,2,Tyrannosaurus rex,what,25,18.594956831855836,False
distractor_candidate,1,2,Humpback whales,what,25,17.07872476118035,False
distractor_candidate,1,2,Tyrannosaurus rex,work,25,17.222288998814587,False
distractor_candidate,1,2,Humpback whales,work,25,14.396922238048989,False
distractor_candidate,1,2,Tyrannosaurus rex,bit,25,20.33659349233574,False
distractor_candidate,1,2,Humpback whales,bit,25,17.88382783259502,False
distractor_candidate,1,2,Tyrannosaurus rex,will,25,15.078182666369159,False
distractor_candidate,1,2,Humpback whales,will,25,15.340811181126323,False
distractor_candidate,1,2,Tyrannosaurus rex,show,25,11.360558906037653,False
distractor_candidate,1,2,Humpback whales,show,25,9.579179118735164,False
distractor_candidate,1,2,Tyrannosaurus rex,food,25,15.510219595671018,False
distractor_candidate,1,2,Humpback whales,food,25,11.51461546123573,False
distractor_candidate,1,2,Tyrannosaurus rex,fun,25,15.963296194548828,False
distractor_candidate,1,2,Humpback whales,fun,25,14.00324019161195,False
distractor_candidate,1,2,Tyrannosaurus rex,time,25,17.96886981379366,False
distractor_candidate,1,2,Humpback whales,time,25,15.500603701695976,False
distractor_candidate,1,2,Tyrannosaurus rex,very,25,15.301918336529605,False
distractor_candidate,1,2,Humpback whales,very,25,17.80657597754986,False
distractor_candidate,1,2,Tyrannosaurus rex,than,25,21.28556211498896,False
distractor_candidate,1,2,Humpback whales,than,25,17.848087086023313,False
distractor_candidate,1,2,Tyrannosaurus rex,not,25,15.185121478675654,False
distractor_candidate,1,2,Humpback whales,not,25,14.11237075082104,False
distractor_candidate,1,2,Tyrannosaurus rex,box,25,15.490015073847655,False
distractor_candidate,1,2,Humpback whales,box,25,14.773638539943711,False
distractor_candidate,1,2,Tyrannosaurus rex,fund,25,22.236062071165463,False
distractor_candidate,1,2,Humpback whales,fund,25,17.815297561740415,False
distractor_candidate,1,2,Tyrannosaurus rex,male,25,12.062029359626015,False
distractor_candidate,1,2,Humpback whales,male,25,14.357781738435026,False
distractor_candidate,1,2,Tyrannosaurus rex,come,25,17.26579097845443,False
distractor_candidate,1,2,Humpback whales,come,25,15.046530979304368,False
distractor_candidate,1,2,Tyrannosaurus rex,two,25,15.447005652519884,False
distractor_candidate,1,2,Humpback whales,two,25,14.479008869375203,False
distractor_candidate,1,2,Tyrannosaurus rex,drop,25,20.305556815230435,False
distractor_candidate,1,2,Humpback whales,drop,25,15.940798112093558,False
distractor_candidate,1,2,Tyrannosaurus rex,blue,25,14.020299494716333,False
distractor_candidate,1,2,Humpback whales,blue,25,13.518934295059868,False
distractor_candidate,1,2,Tyrannosaurus rex,try,25,18.91117651648306,False
distractor_candidate,1,2,Humpback whales,try,25,16.15990263343157,False
distractor_candidate,1,2,Tyrannosaurus rex,red,25,11.35525220936263,False
distractor_candidate,1,2,Humpback whales,red,25,13.691859410849403,False
distractor_candidate,1,2,Tyrannosaurus rex,them,25,22.13555816172365,False
distractor_candidate,1,2,Humpback whales,them,25,17.581592401274754,False
distractor_candidate,1,2,Tyrannosaurus rex,days,25,17.812859535681785,False
distractor_candidate,1,2,Humpback whales,days,25,14.341604362364267,False
distractor_candidate,1,2,Tyrannosaurus rex,only,25,13.281885791861434,False
distractor_candidate,1,2,Humpback whales,only,25,14.112208399198625,False
distractor_candidate,1,2,Tyrannosaurus rex,role,25,18.657312237613862,False
distractor_candidate,1,2,Humpback whales,role,25,16.076217251382936,False
distractor_candidate,1,2,Tyrannosaurus rex,cut,25,16.68733489951401,False
distractor_candidate,1,2,Humpback whales,cut,25,16.29547586917612,False
distractor_candidate,1,2,Tyrannosaurus rex,part,25,16.734425125181456,False
distractor_candidate,1,2,Humpback whales,part,25,15.612668972859389,False
distractor_candidate,1,2,Tyrannosaurus rex,safe,25,19.013599752308497,False
distractor_candidate,1,2,Humpback whales,safe,25,13.368201820537667,False
distractor_candidate,1,2,Tyrannosaurus rex,self,25,16.409493487392126,False
distractor_candidate,1,2,Humpback whales,self,25,17.143300806926316,False
distractor_candidate,1,2,Tyrannosaurus rex,they,25,20.749009264965963,False
distractor_candidate,1,2,Humpback whales,they,25,18.7623055821738,False
distractor_candidate,1,2,Tyrannosaurus rex,you,25,19.36424486019363,False
distractor_candidate,1,2,Humpback whales,you,25,16.573375067468692,False
distractor_candidate,1,2,Tyrannosaurus rex,rule,25,18.436566313856016,False
distractor_candidate,1,2,Humpback whales,rule,25,13.002415360070577,False
distractor_candidate,1,2,Tyrannosaurus rex,mark,25,11.836784369721599,False
distractor_candidate,1,2,Humpback whales,mark,25,13.51625962087365,False
distractor_candidate,1,2,Tyrannosaurus rex,ten,25,17.53862838336681,False
distractor_candidate,1,2,Humpback whales,ten,25,18.64866219820607,False
distractor_candidate,1,2,Tyrannosaurus rex,help,25,18.929061336311584,False
distractor_candidate,1,2,Humpback whales,help,25,12.662361631756184,False
distractor_candidate,1,2,Tyrannosaurus rex,fat,25,17.803232634817086,False
distractor_candidate,1,2,Humpback whales,fat,25,14.45794718601994,False
distractor_candidate,1,2,Tyrannosaurus rex,boys,25,18.676322511909635,False
distractor_candidate,1,2,Humpback whales,boys,25,17.077231951770862,False
distractor_candidate,1,2,Tyrannosaurus rex,also,25,12.754386108579855,False
distractor_candidate,1,2,Humpback whales,also,25,11.490352148852004,False
distractor_candidate,1,2,Tyrannosaurus rex,act,25,14.767487064487652,False
distractor_candidate,1,2,Humpback whales,act,25,12.434675864070721,False
distractor_candidate,1,2,Tyrannosaurus rex,eyes,25,10.762699056496288,False
distractor_candidate,1,2,Humpback whales,eyes,25,13.73588421774787,False
distractor_candidate,1,2,Tyrannosaurus rex,test,25,10.270026547945031,False
distractor_candidate,1,2,Humpback whales,test,25,13.914300395614154,False
distractor_candidate,1,2,Tyrannosaurus rex,home,25,15.6070898556654,False
distractor_candidate,1,2,Humpback whales,home,25,10.93061190990908,False
distractor_candidate,1,2,Tyrannosaurus rex,sad,25,17.574107716309204,False
distractor_candidate,1,2,Humpback whales,sad,25,15.064274085428583,False
distractor_candidate,1,2,Tyrannosaurus rex,at,25,15.169665053877312,False
distractor_candidate,1,2,Humpback whales,at,25,11.423482542474131,False
distractor_candidate,1,2,Tyrannosaurus rex,eat,25,15.251854874794045,False
distractor_candidate,1,2,Humpback whales,eat,25,10.328508904405629,False
distractor_candidate,1,2,Tyrannosaurus rex,dog,25,14.21383501138527,False
distractor_candidate,1,2,Humpback whales,dog,25,14.751423884897065,False
distractor_candidate,1,2,Tyrannosaurus rex,firm,25,18.893423779330394,False
distractor_candidate,1,2,Humpback whales,firm,25,19.462521250341464,False
distractor_candidate,1,2,Tyrannosaurus rex,cash,25,20.42091727398438,False
distractor_candidate,1,2,Humpback whales,cash,25,19.223047103835263,False
distractor_candidate,1,2,Tyrannosaurus rex,just,25,14.07581962199847,False
distractor_candidate,1,2,Humpback whales,just,25,15.995864205177417,False
distractor_candidate,1,2,Tyrannosaurus rex,sold,25,16.65857940028975,False
distractor_candidate,1,2,Humpback whales,sold,25,15.672558835334646,False
distractor_candidate,1,2,Tyrannosaurus rex,add,25,20.04063198811895,False
distractor_candidate,1,2,Humpback whales,add,25,17.514205471083084,False
distractor_candidate,1,2,Tyrannosaurus rex,film,25,15.707219530858934,False
distractor_candidate,1,2,Humpback whales,film,25,11.722070565734898,False
distractor_candidate,1,2,Tyrannosaurus rex,live,25,11.433745091216416,False
distractor_candidate,1,2,Humpback whales,live,25,10.282123119676118,False
distractor_candidate,1,2,Tyrannosaurus rex,pull,25,20.09236574535969,False
distractor_candidate,1,2,Humpback whales,pull,25,16.029476494462045,False
distractor_candidate,1,2,Tyrannosaurus rex,okay,25,21.68248981801308,False
distractor_candidate,1,2,Humpback whales,okay,25,16.501306081589934,False
distractor_candidate,1,2,Tyrannosaurus rex,hear,25,22.152364306365964,False
distractor_candidate,1,2,Humpback whales,hear,25,16.4483767009604,False
distractor_candidate,1,2,Tyrannosaurus rex,cast,25,15.73265507699094,False
distractor_candidate,1,2,Humpback whales,cast,25,14.132393658965093,False
distractor_candidate,1,2,Tyrannosaurus rex,case,25,16.773070314760933,False
distractor_candidate,1,2,Humpback whales,case,25,12.602480024448168,False
distractor_candidate,1,2,Tyrannosaurus rex,once,25,14.268559890889815,False
distractor_candidate,1,2,Humpback whales,once,25,14.714709028590873,False
distractor_candidate,1,2,Tyrannosaurus rex,per,25,18.925356142081394,False
distractor_candidate,1,2,Humpback whales,per,25,18.094254797301097,False
distractor_candidate,1,2,Tyrannosaurus rex,done,25,15.91322722936844,False
distractor_candidate,1,2,Humpback whales,done,25,13.030733335431043,False
distractor_candidate,1,2,Tyrannosaurus rex,door,25,19.694227284473495,False
distractor_candidate,1,2,Humpback whales,door,25,20.050971585088824,False
distractor_candidate,1,2,Tyrannosaurus rex,see,25,16.629900949293074,False
distractor_candidate,1,2,Humpback whales,see,25,12.018969031433588,False
distractor_candidate,1,2,Tyrannosaurus rex,stop,25,16.0846017495778,False
distractor_candidate,1,2,Humpback whales,stop,25,14.359007630770376,False
distractor_candidate,1,2,Tyrannosaurus rex,line,25,16.4375734387638,False
distractor_candidate,1,2,Humpback whales,line,25,13.530580960176296,False
distractor_candidate,1,2,Tyrannosaurus rex,off,25,12.459427607182896,False
distractor_candidate,1,2,Humpback whales,off,25,10.866465132859666,False
distractor_candidate,1,2,Tyrannosaurus rex,yes,25,17.738117251478013,False
distractor_candidate,1,2,Humpback whales,yes,25,17.14230468341252,False
distractor_candidate,1,2,Tyrannosaurus rex,for,25,16.60419848608693,False
distractor_candidate,1,2,Humpback whales,for,25,13.14752744156258,False
distractor_candidate,1,2,Tyrannosaurus rex,feel,25,20.42337731382232,False
distractor_candidate,1,2,Humpback whales,feel,25,15.810696676368861,False
distractor_candidate,1,2,Tyrannosaurus rex,such,25,21.72153400734256,False
distractor_candidate,1,2,Humpback whales,such,25,18.451069266837976,False
distractor_candidate,1,2,Tyrannosaurus rex,meet,25,17.50805674734944,False
distractor_candidate,1,2,Humpback whales,meet,25,12.913179753913296,False
distractor_candidate,1,2,Tyrannosaurus rex,left,25,12.998503786659352,False
distractor_candidate,1,2,Humpback whales,left,25,10.735941307744449,False
distractor_candidate,1,2,Tyrannosaurus rex,west,25,14.528193155799553,False
distractor_candidate,1,2,Humpback whales,west,25,14.272922746776903,False
distractor_candidate,1,2,Tyrannosaurus rex,rate,25,22.55034729493578,False
distractor_candidate,1,2,Humpback whales,rate,25,15.26849591609153,False
distractor_candidate,1,2,Tyrannosaurus rex,bank,25,20.081122207576882,False
distractor_candidate,1,2,Humpback whales,bank,25,16.282264849867442,False
distractor_candidate,1,2,Tyrannosaurus rex,cold,25,18.19744026023516,False
distractor_candidate,1,2,Humpback whales,cold,25,16.629940849268074,False
distractor_candidate,1,2,Tyrannosaurus rex,like,25,19.294177752370913,False
distractor_candidate,1,2,Humpback whales,like,25,14.183380323570484,False
distractor_candidate,1,2,Tyrannosaurus rex,mass,25,15.219114881514594,False
distractor_candidate,1,2,Humpback whales,mass,25,16.462688409234598,False
distractor_candidate,1,2,Tyrannosaurus rex,cup,25,18.802113374473105,False
distractor_candidate,1,2,Humpback whales,cup,25,21.102630360641623,False
distractor_candidate,1,2,Tyrannosaurus rex,huge,25,16.604755709875725,False
distractor_candidate,1,2,Humpback whales,huge,25,16.752653910311707,False
distractor_candidate,1,2,Tyrannosaurus rex,too,25,16.413798557108525,False
distractor_candidate,1,2,Humpback whales,too,25,12.070958698858812,False
distractor_candidate,1,2,Tyrannosaurus rex,cool,25,22.23987871015341,False
distractor_candidate,1,2,Humpback whales,cool,25,16.2111961150861,False
distractor_candidate,1,2,Tyrannosaurus rex,open,25,15.584268445826508,False
distractor_candidate,1,2,Humpback whales,open,25,15.097923522965797,False
distractor_candidate,1,2,Tyrannosaurus rex,read,25,18.371016158375564,False
distractor_candidate,1,2,Humpback whales,read,25,15.179342861606663,False
distractor_candidate,1,3,Tyrannosaurus rex is,seat,25,25.04078403452149,True
distractor_candidate,1,3,Humpback whales are,seat,25,27.975886733427217,True
distractor_candidate,1,4,Tyrannosaurus rex is one,oh,25,17.076261969619996,False
distractor_candidate,1,4,Humpback whales are known,oh,25,23.305091094455406,False
distractor_candidate,1,4,Tyrannosaurus rex is one,were,25,19.743893122320262,False
distractor_candidate,1,4,Humpback whales are known,were,25,15.820959225111148,False
distractor_candidate,1,4,Tyrannosaurus rex is one,glad,25,18.638539987306885,False
distractor_candidate,1,4,Humpback whales are known,glad,25,23.970017298527228,False
distractor_candidate,1,4,Tyrannosaurus rex is one,fire,25,19.152653916906512,False
distractor_candidate,1,4,Humpback whales are known,fire,25,20.509822673452003,False
distractor_candidate,1,4,Tyrannosaurus rex is one,own,25,17.467383538350987,False
distractor_candidate,1,4,Humpback whales are known,own,25,20.010309382980026,False
distractor_candidate,1,4,Tyrannosaurus rex is one,dead,25,13.398780335861074,False
distractor_candidate,1,4,Humpback whales are known,dead,25,14.083187358761432,False
distractor_candidate,1,4,Tyrannosaurus rex is one,not,25,14.163757791037641,False
distractor_candidate,1,4,Humpback whales are known,not,25,10.319316087751709,False
distractor_candidate,1,4,Tyrannosaurus rex is one,get,25,18.584456259124757,False
distractor_candidate,1,4,Humpback whales are known,get,25,21.744765423821107,False
distractor_candidate,1,4,Tyrannosaurus rex is one,free,25,12.675618054484689,False
distractor_candidate,1,4,Humpback whales are known,free,25,15.65192091723111,False
distractor_candidate,1,4,Tyrannosaurus rex is one,pro,25,14.532905480433193,False
distractor_candidate,1,4,Humpback whales are known,pro,25,20.945500131507327,False
distractor_candidate,1,4,Tyrannosaurus rex is one,mind,25,16.812115879951616,False
distractor_candidate,1,4,Humpback whales are known,mind,25,23.706784780700236,False
distractor_candidate,1,4,Tyrannosaurus rex is one,try,25,15.426787372084451,False
distractor_candidate,1,4,Humpback whales are known,try,25,25.644693545789604,True
distractor_candidate,1,4,Tyrannosaurus rex is one,bus,25,17.857708483443183,False
distractor_candidate,1,4,Humpback whales are known,bus,25,22.610096819567932,False
distractor_candidate,1,4,Tyrannosaurus rex is one,and,25,14.738250013840974,False
distractor_candidate,1,4,Humpback whales are known,and,25,11.706322458360692,False
distractor_candidate,1,4,Tyrannosaurus rex is one,whom,25,18.503127727323545,False
distractor_candidate,1,4,Humpback whales are known,whom,25,19.187395788242004,False
distractor_candidate,1,4,Tyrannosaurus rex is one,look,25,13.388382952720512,False
distractor_candidate,1,4,Humpback whales are known,look,25,20.697012718234706,False
distractor_candidate,1,4,Tyrannosaurus rex is one,ride,25,13.624422949654287,False
distractor_candidate,1,4,Humpback whales are known,ride,25,17.90946975790806,False
distractor_candidate,1,4,Tyrannosaurus rex is one,fan,25,12.562541525334202,False
distractor_candidate,1,4,Humpback whales are known,fan,25,22.741618144058155,False
distractor_candidate,1,4,Tyrannosaurus rex is one,blue,25,14.659087087579426,False
distractor_candidate,1,4,Humpback whales are known,blue,25,15.611850335441282,False
distractor_candidate,1,4,Tyrannosaurus rex is one,work,25,17.61694790670853,False
distractor_candidate,1,4,Humpback whales are known,work,25,17.310677074468416,False
distractor_candidate,1,4,Tyrannosaurus rex is one,by,25,12.794503469650717,False
distractor_candidate,1,4,Humpback whales are known,by,25,8.213544000252998,False
distractor_candidate,1,4,Tyrannosaurus rex is one,such,25,11.093123132223573,False
distractor_candidate,1,4,Humpback whales are known,such,25,17.86766834271995,False
distractor_candidate,1,4,Tyrannosaurus rex is one,had,25,17.783903160721312,False
distractor_candidate,1,4,Humpback whales are known,had,25,19.85666283442161,False
distractor_candidate,1,4,Tyrannosaurus rex is one,you,25,14.151860719181554,False
distractor_candidate,1,4,Humpback whales are known,you,25,17.440035545141388,False
distractor_candidate,1,4,Tyrannosaurus rex is one,yeah,25,20.037929796708593,False
distractor_candidate,1,4,Humpback whales are known,yeah,25,25.02266119070417,True
distractor_candidate,1,4,Tyrannosaurus rex is one,few,25,15.927362827408157,False
distractor_candidate,1,4,Humpback whales are known,few,25,16.674093611258783,False
distractor_candidate,1,4,Tyrannosaurus rex is one,why,25,13.12101872368919,False
distractor_candidate,1,4,Humpback whales are known,why,25,9.637648404514294,False
distractor_candidate,1,4,Tyrannosaurus rex is one,park,25,15.258741060134591,False
distractor_candidate,1,4,Humpback whales are known,park,25,19.862477223881978,False
distractor_candidate,1,4,Tyrannosaurus rex is one,year,25,11.866870326732935,False
distractor_candidate,1,4,Humpback whales are known,year,25,18.572314283973842,False
distractor_candidate,1,4,Tyrannosaurus rex is one,give,25,21.078603696385485,False
distractor_candidate,1,4,Humpback whales are known,give,25,22.565469385460844,False
distractor_candidate,1,4,Tyrannosaurus rex is one,job,25,17.56084991771949,False
distractor_candidate,1,4,Humpback whales are known,job,25,23.6429530758672,False
distractor_candidate,1,4,Tyrannosaurus rex is one,two,25,13.477226438433826,False
distractor_candidate,1,4,Humpback whales are known,two,25,14.78389558524117,False
distractor_candidate,1,4,Tyrannosaurus rex is one,fair,25,14.40867071689473,False
distractor_candidate,1,4,Humpback whales are known,fair,25,21.621098890961093,False
distractor_candidate,1,4,Tyrannosaurus rex is one,vote,25,15.236895135891395,False
distractor_candidate,1,4,Humpback whales are known,vote,25,22.500524608911427,False
distractor_candidate,1,4,Tyrannosaurus rex is one,can,25,14.895315577498545,False
distractor_candidate,1,4,Humpback whales are known,can,25,18.521385405539142,False
distractor_candidate,1,4,Tyrannosaurus rex is one,sort,25,13.887028074770933,False
distractor_candidate,1,4,Humpback whales are known,sort,25,22.89729133617434,False
distractor_candidate,1,4,Tyrannosaurus rex is one,talk,25,16.091720455462312,False
distractor_candidate,1,4,Humpback whales are known,talk,25,21.34799044139095,False
distractor_candidate,1,4,Tyrannosaurus rex is one,am,25,14.503036909492549,False
distractor_candidate,1,4,Humpback whales are known,am,25,22.990805870685087,False
distractor_candidate,1,4,Tyrannosaurus rex is one,well,25,15.944357465035816,False
distractor_candidate,1,4,Humpback whales are known,well,25,10.642186685453098,False
distractor_candidate,1,4,Tyrannosaurus rex is one,like,25,14.366567988102306,False
distractor_candidate,1,4,Humpback whales are known,like,25,13.455222290151834,False
distractor_candidate,1,4,Tyrannosaurus rex is one,cut,25,14.337884033660803,False
distractor_candidate,1,4,Humpback whales are known,cut,25,20.071039896652703,False
distractor_candidate,1,4,Tyrannosaurus rex is one,same,25,19.666964594658722,False
distractor_candidate,1,4,Humpback whales are known,same,25,19.828377879730105,False
distractor_candidate,1,4,Tyrannosaurus rex is one,die,25,14.728070016771103,False
distractor_candidate,1,4,Humpback whales are known,die,25,18.16440308093502,False
distractor_candidate,1,4,Tyrannosaurus rex is one,say,25,14.831969551671548,False
distractor_candidate,1,4,Humpback whales are known,say,25,19.07820469113981,False
distractor_candidate,1,4,Tyrannosaurus rex is one,wish,25,15.138859521454766,False
distractor_candidate,1,4,Humpback whales are known,wish,25,21.32866096729518,False
distractor_candidate,1,4,Tyrannosaurus rex is one,boys,25,21.67697811801823,False
distractor_candidate,1,4,Humpback whales are known,boys,25,19.36280846109362,False
distractor_candidate,1,4,Tyrannosaurus rex is one,read,25,13.868100352147575,False
distractor_candidate,1,4,Humpback whales are known,read,25,16.524322863720208,False
distractor_candidate,1,4,Tyrannosaurus rex is one,move,25,15.475296110656211,False
distractor_candidate,1,4,Humpback whales are known,move,25,18.86330204992768,False
distractor_candidate,1,4,Tyrannosaurus rex is one,text,25,17.580841181055785,False
distractor_candidate,1,4,Humpback whales are known,text,25,20.583222117117835,False
distractor_candidate,1,4,Tyrannosaurus rex is one,bad,25,12.888839393301986,False
distractor_candidate,1,4,Humpback whales are known,bad,25,17.418146969200777,False
distractor_candidate,1,4,Tyrannosaurus rex is one,back,25,14.546504492602217,False
distractor_candidate,1,4,Humpback whales are known,back,25,15.328395409595236,False
distractor_candidate,1,4,Tyrannosaurus rex is one,them,25,14.019727136454263,False
distractor_candidate,1,4,Humpback whales are known,them,25,13.481407680641603,False
distractor_candidate,1,4,Tyrannosaurus rex is one,old,25,15.10782284434946,False
distractor_candidate,1,4,Humpback whales are known,old,25,20.66602419627164,False
distractor_candidate,1,4,Tyrannosaurus rex is one,door,25,18.59452893902049,False
distractor_candidate,1,4,Humpback whales are known,door,25,24.659626452650887,False
distractor_candidate,1,4,Tyrannosaurus rex is one,on,25,14.120954748890904,False
distractor_candidate,1,4,Humpback whales are known,on,25,9.507813885863737,False
distractor_candidate,1,4,Tyrannosaurus rex is one,love,25,18.130179909274528,False
distractor_candidate,1,4,Humpback whales are known,love,25,20.700512909145065,False
distractor_candidate,1,4,Tyrannosaurus rex is one,line,25,13.538948948036678,False
distractor_candidate,1,4,Humpback whales are known,line,25,21.370399092867775,False
distractor_candidate,1,4,Tyrannosaurus rex is one,wall,25,14.872882160520001,False
distractor_candidate,1,4,Humpback whales are known,wall,25,23.348895763560765,False
distractor_candidate,1,4,Tyrannosaurus rex is one,hey,25,25.2067073926291,True
distractor_candidate,1,4,Humpback whales are known,hey,25,23.74826424436593,False
distractor_candidate,1,4,Tyrannosaurus rex is one,six,25,16.38559477822823,False
distractor_candidate,1,4,Humpback whales are known,six,25,16.766596887782455,False
distractor_candidate,1,4,Tyrannosaurus rex is one,baby,25,12.192564191630886,False
distractor_candidate,1,4,Humpback whales are known,baby,25,19.523960332535694,False
distractor_candidate,1,4,Tyrannosaurus rex is one,stop,25,14.63754247694054,False
distractor_candidate,1,4,Humpback whales are known,stop,25,22.885589636609634,False
distractor_candidate,1,4,Tyrannosaurus rex is one,sell,25,17.602698112188637,False
distractor_candidate,1,4,Humpback whales are known,sell,25,21.917606612077023,False
distractor_candidate,1,4,Tyrannosaurus rex is one,less,25,10.744490909284142,False
distractor_candidate,1,4,Humpback whales are known,less,25,13.007459267255081,False
distractor_candidate,1,4,Tyrannosaurus rex is one,how,25,16.821790935958557,False
distractor_candidate,1,4,Humpback whales are known,how,25,9.341794217471643,False
distractor_candidate,1,4,Tyrannosaurus rex is one,she,25,18.424179435410274,False
distractor_candidate,1,4,Humpback whales are known,she,25,19.87499618500358,False
distractor_candidate,1,4,Tyrannosaurus rex is one,sent,25,19.15560926677894,False
distractor_candidate,1,4,Humpback whales are known,sent,25,23.940372992963308,False
distractor_candidate,1,4,Tyrannosaurus rex is one,ways,25,18.239866316411206,False
distractor_candidate,1,4,Humpback whales are known,ways,25,17.674474039630326,False
distractor_candidate,1,4,Tyrannosaurus rex is one,the,25,14.824085866955997,False
distractor_candidate,1,4,Humpback whales are known,the,25,13.537794600484085,False
distractor_candidate,1,4,Tyrannosaurus rex is one,make,25,19.143985991303026,False
distractor_candidate,1,4,Humpback whales are known,make,25,20.52568084972276,False
distractor_candidate,1,4,Tyrannosaurus rex is one,nine,25,16.61914584223872,False
distractor_candidate,1,4,Humpback whales are known,nine,25,16.919444060979664,False
distractor_candidate,1,4,Tyrannosaurus rex is one,saw,25,17.246032235662103,False
distractor_candidate,1,4,Humpback whales are known,saw,25,20.35662603150824,False
